Card Name,Cost,Rarity,Description,Type,ImageID
Elemental Hero Plasma Vice,0,Secret Rare,"""Elemental Hero Sparkman"" + ""Elemental Hero Bladedge""
This monster cannot be Special Summoned except by Fusion Summon. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. By discarding 1 card from your hand, destroy 1 monster in Attack Position your opponent controls.",Monster,
Evil Hero Inferno Wing,0,Ultra Rare,"""Elemental Hero Avian"" + ""Elemental Hero Burstinatrix""
This card can only be Special Summoned from the Fusion Deck. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the ATK or DEF of the destroyed monster, whichever is higher.",Monster,
Evil Hero Lightning Golem,0,Ultra Rare,"""Elemental Hero Sparkman"" + ""Elemental Hero Clayman""
This card cannot be Special Summoned except by the effect of ""Dark Fusion"". Once per turn, during your Main Phase, you can destroy 1 monster your opponent controls.",Monster,
Evil Hero Dark Gaia,0,Rare,"1 Fiend-Type Monster + 1 Rock-Type Monster
This monster cannot be Special Summoned except with ""Dark Fusion"". The original ATK  of this card is equal to the combined ATK of the Fusion Material Monster used to Fusion Summon it. When this card declares an attack, change all Defense Position monsters your opponent controls to face-up Attack Position. (Flip effects are not activated at this time.)",Monster,
Super Vehicroid - Stealth Union,0,Secret Rare,"""Truckroid"" + ""Expressroid"" + ""Drillroid"" + ""Stealthroid""
When this card attacks, its original ATK is halved until the end of the Damage Step. During a battle between this attacking card and a Defense Position monster whose DEF is lower then the ATK of this card, inflict the difference as Battle Damage to your opponent. Once per turn, you can select 1 monster you control, except a Machine-Type monster, and equip it to this card. When equipped with a monster by this effect, this card can attack all monsters your opponent controls once each.",Monster,
Superalloy Beast Raptinus,0,Common,"1 Gemini Monster + 1 Gemini Monster
All Gemini Monsters on the field are treated as Effect Monsters and gain their effects.",Monster,
Gladiator Beast Gaiodiaz,0,Rare,"""Gladiator Beast Spartacus"" + 1 ""Gladiator Beast"" monster
This card can only be Special Summoned from the Fusion Deck by returning the above cards you control to the Deck (You do not use ""Polymerization""). When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the DEF of the destroyed monster. At the phase of the Battle Phase, if this card attacks or was attacked, you can return it to the Fusion Deck to Special Summon 2 ""Gladiator Beast"" monsters  from your Deck, except ""Gladiator Beast Spartacus"".",Monster,
Gladiator Beast Heraklinos,0,Secret Rare,"""Gladiator Beast Laquari"" + 2 ""Gladiator Beast"" monsters
This card can only be Special Summoned from your fusion deck by returning the above cards you control to the Deck (You do not use ""Polymerization""). You can discard 1 card from your hand to negate the activation of a Spell or Trap Card and destroy it. You can use this effect during either players turn.",Monster,
Contact Out,0,Common,"Return 1 ""Neos"" Fusion Monster you control to the Fusion Deck. If all the Fusion Material Monsters listed on that Fusion Monster are in your Deck, you can Special Summon them.",Spell,
Swing of Memories,0,Common,Special Summon 1 Normal Monster from your Graveyard. It is destroyed during the End Phase of this turn.,Spell,
Dark Fusion,0,Rare,"Send, from your hand or your side of the field to the Graveyard, Fusion Material Monster that are listed on a Fiend-Type Monster Card and Special Summon that monster from your Fusion Deck (This Special Summon is treated as a Fusion Summon). The Special Summoned monster cannot be targeted by the effects of other Monsters, Spells and Traps this turn.",Spell,
Diamond-Dust Cyclone,0,Rare,"Activate only by selecting 1 monster on the field with at least 4 Fog Counters on it. Destroy the selected monster. Then, draw 1 card for every 4 Fog Counters that were on it.",Spell,
Summon Cloud,0,Common,"Once per turn, during your Main Phase, if you dont control any monsters, you can Special Summon 1 Level 4 or lower ""Cloudian"" Monster from your hand or from either  players Graveyard. If you Special Summon a monster from the Graveyard with this effect, destroy this card.",Spell,
Lucky Cloud,0,Common,"During the End Phase, if you Summoned 2 or more ""Cloudian"" monsters with the same name this turn, draw 2 cards.",Spell,
Fog Control,0,Common,"Tribute 1 face-up ""Cloudian"" monster you control. Place 3 Fog Counters on 1 face-up monster.",Spell,
Cloudian Squall,0,Common,"During each of your Standby Phase, place 1 Fog Counter on every face-up monster.",Spell,
Super Double Summon,0,Common,Select 1 Gemini monster you control and Normal Summon it. During the End Phase of this turn return it to your hand.,Spell,
Colosseum - Cage of the Gladiator Beasts,0,Rare,"Place 1 Counter on this card each time a monster is Special Summoned from either players Deck. All ""Gladiator Beast"" monsters gain 100 ATK and DEF for each of these counters on this card. If this card would be destroyed by a card effect, you can discard 1 ""Colosseum - Cage of the Gladiator Beasts"" to prevent this card from being destroyed.",Spell,
Gladiator Beasts Battle Halberd,0,Common,"Equip only to a ""Gladiator Beast"" monster. When it attacks destroy 1 Spell or Trap Card at the end of the Damage Step. When the equipped monster is returned from your side of the field to the Deck and this card is sent to the Graveyard, return this card to your hand.",Spell,
Gladiator Beasts Battle Gladius,0,Common,"Equip only to a ""Gladiator Beast"" monster. It gains 300 ATK. When the equipped monster is returned from your side of the field to the Deck and this card is sent to the Graveyard, return this card to your hand.",Spell,
Gladiator Beasts Battle Manica,0,Rare,"Equip only to a ""Gladiator Beast"" monster. The equipped monster cannot be destroyed by battle. (Damage calculation is applied normally). If this card would be sent to the Graveyard as a result of the equipped monster returning from the field to the Deck, add this card to your hand.",Spell,
Gladiator Beasts Respite,0,Rare,"Return 2 ""Gladiator Beast"" cards from your hand to the Deck, then draw 3 cards.",Spell,
Gladiators Return,0,Common,"Return 3 ""Gladiator Beast"" monsters from your Graveyard to your Deck. Then draw 1 card.",Spell,
Soul Devouring Bamboo Sword,0,Common,"Select 1 monster equipped with a ""Bamboo Sword"" Equip Spell Card. If it inflicts Battle Damage to your opponent while equipped with a ""Bamboo Sword"" card, they skip their next Draw Phase. Destroy this card during your second Standby Phase after activation.",Spell,
Cunning of the Six Samurai,0,Super Rare,"Send 1 face-up ""Six Samurai"" monster you control to the Graveyard. Special Summon 1 ""Six Samurai"" monster from either players Graveyard.",Spell,
"""A"" Cell Incubator",0,Common,"Each time an A-Counter(s)  is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",Spell,
Over Limit,0,Common,Pay 500 Life Points. Special Summon from both players Graveyards as many Normal Monsters as possible with 1000 or less ATK that were destroyed by battle this turn.,Trap,
No Entry!!,0,Common,Change all Attack Position monsters to Defense Position.,Trap,
Natural Disaster,0,Common,"Inflict 500 damage to your opponent each time a card(s) they control is destroyed and sent to the Graveyard by the effect of a ""Cloudian"" monster.",Trap,
Rain Storm,0,Common,"Select 1 ""Cloudian"" Monster you control. Reduce that monsters ATK by 1000 or 2000 points and apply the appropriate effect:
? 1000 points: Destroy 1 Spell or Trap Card your opponent controls.
? 2000 points: Destroy 2 Spell or Trap Cards your opponent controls.",Trap,
Updraft,0,,,,
Release from Stone,0,Common,"Select 1 of your removed from play Rock-Type monsters and Special Summon it. When this card is removed from the field destroy that monster. When that monster is destroyed, destroy this card.",Trap,
Light-Imprisoning Mirror,0,Common,"When the effect of a LIGHT monster activates on the field or in the Graveyard, negate it.",Trap,
Shadow-Imprisoning Mirror,0,Common,"When the effect of a DARK monster activates on the field or in the Graveyard, negate it.",Trap,
Disarm,0,Common,"Return 1 ""Gladiator Beast"" monster from your hand to the Deck and negate the activation and effect of a Spell Card and destroy it.",Trap,
Parry,0,Common,"Return 1 ""Gladiator Beast"" monster from your hand to the Deck and negate the activation and effect of a Trap Card and destroy it.",Trap,
Swiftstrike Armor,0,Common,"During your Draw Phase if you draw a ""Six Samurai"" Monster Card, you can Special Summon it.",Trap,
Double-Edged Sword Technique,0,Common,"Select 2 ""Six Samurai"" monsters from the Graveyard and Special Summon them in face-up Attack Position. Destroy them during the End Phase of this turn and take damage equal to the attack of the destroyed monster(s).",Trap,
Energy-Absorbing Monolith,0,Super Rare,Chain this card to an ooponents card effect that would inflict damage to you. That damage is negated and you gain Life Points equal to the amount you would have taken.,Trap,
Cell Explosion Virus,0,Rare,"Activate only when an opponents monster with an ""A-Counter"" on it declares an attack. Destroy all Attack Position monsters your opponent controls.",Trap,
"Detonator Circle ""A""",0,Common,Destroy 1 face-up monster with an A-Counter(s) and then inflict 1000 damage to each player.,Trap,
Interdimensional Warp,0,Common,Select a monster you control and a monster with an A-Counter(s) your opponent controls. Switch control of those monsters.,Trap,
Foolish Revival,0,Common,Select 1 monster from your opponents Graveyard and Special Summon it in face-up Attack Position on your opponents side of the field.,Trap,
An Unfortunate Report,0,Common,Your opponent conducts their next Battle Phase twice.,Trap,
Gladiator Beast Torax,0,Super Rare,"If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, at the end of any Battle Phase that this card attacked, or was attacked, you can return it to the Deck to draw 1 card.",Monster,
Test Tiger,0,Ultra Rare,"If you control a ""Gladiator Beast"" monster, you can Special Summon this card. You can Tribute this card to return one ""Gladiator Beast"" you control to the Deck, and then Special Summon 1 ""Gladiator Beast"" from your Deck. The Special Summoned monster is treated as if it was Special Summoned by the effect of a ""Gladiator Beast"".",Monster,
Defensive Tactics,0,Super Rare,"Activate only if you control a ""Gladiator Beast"" monster. Monsters you control cannot be destroyed by battle this turn, and any Battle Damage you take is reduced to 0. Put this card on the bottom of your Deck.",Trap,
Dragon Ice,0,Secret Rare,"When your opponent Special Summons a monster, you can discard 1 card to Special Summon this card from your hand or Graveyard. There can only be 1 face-up ""Dragon Ice"" monster on the field.",Monster,
Tongue  Twister,0,Secret Rare,"If this card is Tribute Summoned, when it is sent from the field to the Graveyard, draw 2 cards and remove this card from play.",Monster,
Skreech,0,Secret Rare,"When this card is destroyed by battle, select 2 WATER monsters from your Deck and send them to your Graveyard.",Monster,
Royal Firestorm Guards,0,Secret Rare,"When this card is Normal Summoned, select 4 Pyro-Type monsters in your Graveyard. Return those cards to your Deck, then draw 2 cards.",Monster,
Veil of Darkness,0,Secret Rare,"During your Draw Phase, if you draw a DARK monster, you can reveal it and send it to the Graveyard to draw 1 more card.",Spell,
Security Orb,0,Ultra Rare,"Activate only when your opponents monster declares an attack. Change the battle position of that monster. When this face-down card is destroyed and sent to the Graveyard by the effect of a Spell or Trap Card your opponent controls, destroy 1 monster on the field.",Trap,
Necroface,0,Secret Rare,"When this card is Normal Summoned, shuffle all removed from play cards into their owners Decks. This card gains 100 ATK for each of those cards. When this card is removed from play, both players remove from play the top 5 cards from their Deck.",Monster,
Gil Garth,0,Secret Rare,This steel-armored terror machine ruthlessly strikes down enemies with its giant Katana.,Monster,
Soul Taker,0,Secret Rare,"Destroy 1 face-up monster your opponent controls. Then, your opponent gains 1000 Life Points.",Spell,
Magic Formula,0,Secret Rare,"Equip only to ""Dark Magician"" or ""Dark Magician Girl"" The equipped monster gains 700 ATK. When this card is sent from the field to the Graveyard, gain 1000 Life Points.",Spell,
Silent Doom,0,Secret Rare,Special Summon 1 Normal Monster from your Graveyard in face-up Defense Position. It cannot attack.,Spell,
Phantom of Chaos,0,Super Rare,"Any Battle Damage this monster inflicts to your opponent becomes 0. Once per turn, you can remove from play 1 Effect Monster in your Graveyard. Until the End Phase, this cards name is treated as that monsters name, and it gains that monsters effect(s) and ATK.",Monster,
Vortex Trooper,0,Super Rare,"When this card is Normal Summoned, you can shuffle 2 cards from your hand into your Deck, then draw 2 cards. When this card is destroyed, draw 1 card.",Monster,
,0,,,,
Great White,0,Common,A giant white shark with razor-sharp teeth.,Monster,
Dragon Zombie,0,Common,A dragon revived by sorcery. Its breath is highly corrosive.,Monster,
Ansatsu,0,Common,A silent and deadly warrior specializing in assassination.,Monster,
Claw Reacher,0,Common,Stretching arms and razor-sharp claws make this monster a formidable opponent.,Monster,
Mystic Clown,0,Common,Nothing can stop the mad attack of this powerful creature.,Monster,
Dark Sword of Destruction,0,Common,A DARK monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,Spell,
Dian Keto the Cure Master,0,Common,Increases your Life Points by 1000 points.,Spell,
Magical Ghost,0,Common,This creature casts a spell of terror and confusion just before attacking its enemies.,Monster,
Reinforcements,0,Common,Increase 1 selected monsters ATK by 500 points during the turn this card is activated.,Trap,
The Stern Mystic,0,Common,FLIP: All face-down cards on the field are turned face-up and the returned to their original positions. No card effects are activated when cards are turned face-up.,Monster,
Wall of Illusion,0,Common,The monster attacking this creature is returned to its owners hand. Any damage resulting from the attack is calculated normally.,Monster,
Baron of the Fiend Sword,0,Common,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,Monster,
Sorcerer of the Doomed,0,Common,"A master of the dark arts, this sorcerer is a master of death-dealing spells.",Monster,
Last Will,0,Common,"You can only use this cards effect once, and only during this turn. When a monster on your side of the field is sent to your Graveyard, you can Special Summon 1 monster with an ATK of 1500 points or less from your Deck. Then shuffle your Deck.",Spell,
Waboku,0,Common,Make all Battle Damage inflicted by monsters on your opponents side of the field 0 during this turn. Your monsters are not destroyed as a result of battle this turn.,Trap,
Soul Exchange,0,Super Rare,"Select 1 monster on your opponents side of the field. When you offer your monster as a Tribute, offer the selected monster in place of 1 of your monsters. During this turn, you cannot conduct your Battle Phase.",Spell,
Card Destruction,0,Super Rare,Both players must discard their entire hands and draw the same number of cards that they discarded from their respective Decks.,Spell,
Trap Master,0,Common,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. if it is a Spell Card, return it to its original position.",Monster,
Reverse Trap,0,Common,All increases and decreases to ATK and DEF are reversed for the turn in which this card is activated.,Trap,
Castle Walls,0,Common,Increase a selected monsters DEF by 500 points during the turn this card is activated.,Trap,
Ultimate Offering,0,Common,"By paying 500 Life Points, Normal Summon or Set 1 extra monster. You can only activate this effect during your Main Phase or your opponents Battle Phase.",Trap,
Ryu-Kishin,0,Common,A very elusive creature that looks like a harmless statue until it attacks.,Monster,
The Wicked Worm Beast,0,Common,This card is returned to your hand at the end of your turn.,Monster,
Battle Ox,0,Common,"A monster with tremendous power, it destroys enemies with a swing of its axe.",Monster,
Koumori Dragon,0,Common,"A vicious, fire-breathing dragon whose wicked flame corrupts the souls of its victims.",Monster,
Judge Man,0,Common,This club-wielding warrior battles to the end and will never surrender.,Monster,
Rogue Doll,0,Common,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",Monster,
Gyakutenno Megami,0,Common,This fairy uses her mystical power to protect the weak and provide spiritual support.,Monster,
Dark Titan of Terror,0,Common,"A fiend said to dwell in the world of dreams, it attacks enemies in their sleep.",Monster,
Dark Assailant,0,Common,"Armed with the Psycho Sword, this sinister assassin rules the bad land.",Monster,
Master & Expert,0,Common,A deadly duo consisting of a beast master and its loyal servant.,Monster,
Unknown Warrior Fiend,0,Common,The speed of this warrior creates an intense vacuum that can slice through a monsters hide.,Monster,
Ogre of the Black Shadow,0,Common,An ogre posed by the powers of the dark. Few can withstand its rapid charge.,Monster,
Invigoration,0,Common,An EARTH monster equipped with this card increases its ATK by 400 points and decreases its DEF by 200 points.,Spell,
Swordstalker,0,Common,A monster formed by the vengeful souls of those who passed away in battle.,Monster,
La Jin Mystic Genie of the Lamp,0,Common,A genies of the lamp thats at the beck and call of its master.,Monster,
Rude Kaiser,0,Common,"With an axe in each hand, this monster delivers heavy damage.",Monster,
D. Human,0,Common,"Gifted with the power of dragons, this warrior wields a sword created from a dragons fang.",Monster,
De-Spell,0,Common,Destroys 1 Magic Card on the field. If this cards target is face-down flip it face-up. If the card is a Magic Card it is destroyed. If not it is returned to its face-down position. The flipped card is not activated.,Spell,
Inexperienced Spy,0,Common,Select and see 1 card in your opponents hand.,Spell,
Ancient Telescope,0,Common,See the top 5 cards of your opponents Deck. Return the cards to the Deck in the same order.,Spell,
Just Desserts,0,Common,Inflict 500 points of Direct Damage to your opponents Life Points for each monster your opponent has on the field.,Trap,
Lord of D.,0,Super Rare,"As long as this card remains face-up on the field, all Dragon-Type monsters cannot be targeted by Spell Cards, Trap Cards or effects of monsters that designate a target.",Monster,
The Flute of Summoning Dragon,0,Super Rare,"You can only activate this card when ""Lord of D."" is face-up on the field. Special Summon up to 2 Dragon-Type monsters from your hand to your side of the field.",Spell,
Mysterious Puppeteer,0,Common,"As long as this card remains face-up on the field, the Life Points of this cards controller increase by 500 points for each additional monster summoned (excluding Special Summon, but including your opponents monsters).",Monster,
Black Luster Soldier,0,Ultra Rare,"This monster can only be Ritual Summoned with the Ritual Spell Card, ""Black Luster Ritual"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",Monster,
Black Luster Ritual,0,Super Rare,"This card is used to Ritual Summon ""Black Luster Soldier"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.",Spell,
Kaiser Sea Horse,0,Ultra Rare,"If you Tribute Summon a LIGHT monster, you can treat this 1 monster as 2 Tribute Monsters for the Tribute Summon.",Monster,
Shadow Spell,0,Super Rare,"Select 1 face-up monster on your opponents side of the field. Decrease the ATK of the selected monster by 700 points. The monster cannot attack or change its battle position. When the selected monster is destroyed or removed from the field, this card is also destroyed.",Trap,
Penguin Soldier,0,Super Rare,FLIP: You can return up to 2 Monster Cards from the field to their owners hands.,Monster,
Scapegoat,0,Super Rare,"When this card is activated, you cannot summon any monster in the same turn (including Flip Summon and Special Summon). Place 4 ""Sheep Tokens"" (Beast-Type/EARTH/ 1 Star/ATK 0/DEF 0) in Defense Position on your side of the field. The tokens cannot be used as a Tribute for a Tribute Summon.",Spell,
Toon Alligator,0,Common,An alligator straight from the cartoons.,Monster,
Graceful Charity,0,Super Rare,"Draw 3 cards from your Deck, then discard any 2 cards from your hand.",Spell,
Gryphon Wing,0,Super Rare,"When your opponent activates ""Harpies Feather Duster"", all of your opponents Magic and Trap Cards are destroyed in place of your own.",Trap,
Skelengel,0,Common,FLIP: Draw 1 card from your Deck,Monster,
Elemental Hero Necroshade,0,Ultra Rare,"While this card is in the Graveyard, one time only, you can Normal Summon 1 ""Elemental Hero"" monster from your hand without Tributing any monsters.",Monster,
Cyber-Tech Alligator,0,Common,"Originally a pterodactyl, he was viciously attacked by a dragon. Using the newest technologies, his keeper saved him from near-fatal wounds and brought him back as a powerful Cyborg.",Monster,
,0,,,,
Red-Eyes Darkness Dragon,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Red-Eyes B. Dragon"" on your side of the field. Increase the ATK of this card by 300 points for each Dragon-Type monster in your Graveyard.",Monster,
Vampire Genesis,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing 1 ""Vampire Lord"" on your side of the field from play. Discard 1 Zombie-Type monster from your hand to the Graveyard to select and Special Summon 1 Zombie-Type Monster from your Graveyard with a Level less than the discarded Zombie-Type monster. You can only use this effect once per turn.",Monster,
Infernal Flame Lord,0,Ultra Rare,"This card cannot be Special Summoned. When this card is Tribute Summoned successfully, you can remove from play up to 5 FIRE monster in your Graveyard. Destroy a number of Spell or Trap Cards on the field equal to the number of cards that you remove from play by this effect.",Monster,
Ocean Dragon Lord - Neo-Daedalus,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Levia-Dragon - Daedalus"" on your side of the field. Send ""Umi"" on your side of the field to the Graveyard to send all cards in both players hands and on the field to the Graveyard, except this card.",Monster,
Gilford the Legend,0,Ultra Rare,"This card cannot be Special Summoned. When this card is Normal Summoned, you can equip as many Equip Spell Cards from your Graveyard as possible to Warrior-Type monster(s) on your side of the field.",Monster,
Warrior Lady of the Wasteland,0,Common,"When this card is destroyed as a result of battle and sent to the Graveyard, you can Special Summon 1 EARTH Warrior-Type monster with an ATK of 1500 or less in face-up Attack Position from your Deck to your side of the field. Then shuffle your deck.",Monster,
Divine Sword - Phoenix Blade,0,Common,"You can only equip this card to a Warrior-Type monster. Increase the ATK of the equipped monster by 300 points. If this card is in your Graveyard during your Main Phase, by removing from play 2 Warrior-Type monsters from your Graveyard, add this card to your hand.",Spell,
Dark Eradicator Warlock,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Dark Magician"" on your side of the field. While this card is face-up on the field, inflict 1000 points of damage to your opponents Life Points each time either players activate 1 Normal Spell Card.",Monster,
Mythical Beast Cerberus,0,Common,"Each time you or your opponent activates 1 Spell Card, put 1 Spell Counter on this card. Increase the ATK of this card by 500 points for each Spell Counter on this card. At the end of the Battle Phase of the turn this card battle, remove all Spell Counters from this card.",Monster,
Magical Blast,0,Common,"You can only activate this card while there is a Spellcaster-Type monster(s) on your side of the field. Inflict 200 points of damage to your opponents Life Points for each Spellcaster-Type monster on your side of the field. If this card is in the Graveyard, you can add this card to your hand instead of conducting your normal draw during your Draw Phase.",Spell,
Magical Dimension,0,Common,You can only activate this card while there is a Spellcaster-Type monster(s) on your side of the field. Tribute 1 monster on your side of the field and Special Summon 1 Spellcaster-Type monster from your hand. Then you can destroy 1 monster on the field.,Spell,
Mystic Box,0,Common,Select 1 monster on each side of the field. Destroy the selected opponents monster and shift control of your selected monster to your opponent.,Spell,
Nightmare Steel Cage,0,Common,This card remains face-up on the field for 2 of your opponents turns. No monsters can attack. Destroy this card during your opponents 2nd End Phase after this card was activated.,Spell,
"Exxod, Master of the Guard",0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 monster on your side of the field that includes ""sphinx"" in its card name. While this card is face-up on the field, each time an EARTH monster is Flip Summoned, inflict 1000 points of damage to your opponents Life Points.",Monster,
Great Spirit,0,Common,"Once per turn, during your Main Phase, you can flip this card into face-down Defense Position. When this card is Flip Summoned, you can switch the original ATK and DEF of 1 face-up EARTH monster on the field until the end of this turn.",Monster,
Canyon,0,Common,"If a Rock-Type monster in Defense Position is attacked, double any Battle Damage to the controller of the attacking monster.",Spell,
"Simorgh, Bird of Divinity",0,Ultra Rare,"This card cannot be Special Summoned. If you Tribute Summon this card, the Tributes must be WIND. While this card is face-up on the field, both players take 1000 points of damage during each players End Phase. Decrease the damage each player takes when this happens by 500 points for each Spell and Trap Card that player controls.",Monster,
Sonic Shooter,0,Common,"If there are no cards in your opponents Spell & Trap Card Zones, this card can attack your opponents Life Points directly. When it does, any Battle Damage this card inflicts to your opponents Life Points become the original ATK of this card.",Monster,
Hysteric Party,0,Common,"Discard 1 card from your hand. Special Summon as many ""Harpie Lady"" cards as possible from your Graveyard. When this card is removed from the field, destroy all monsters that were Special Summoned by this cards effect.",Trap,
Five-Headed Dragon,0,Ultra Rare,"The Fusion Material Monsters for this card are any 5 Dragon-Type monsters. This monster cannot be Special Summoned except by Fusion Summon. This card does not take any Battle Damage (so it cannot be destroyed) when battling an EARTH, WATER, FIRE, WIND, or DARK monster. (Battle Damage is still inflicted to players.)",Monster,
Super Conductor Tyranno,0,Secret Rare,"Once per turn, by tributing 1 monster inflict 1000 damage to your opponent. This monster cannot declare an attack if you used this effect this turn.",Monster,
Big Evolution Pill,0,Common,"Tribute 1 Dinosaur-Type monster to activate this card. This card remains on the field for 3 of your opponents turns. While this card is face-up on the field, you can Normal Summon or Set Dinosaur-Type monsters without tributing.",Spell,
Tail Swipe,0,Common,Select 1 face-up Level 5 or higher Dinosaur-Type monster on your side of the field to activate to activate this card. Select and return to the owners hand up to 2 monsters that are either lower level than the selected monster or face-down on your opponents side of the field.,Spell,
Jurassic World,0,Common,All face-up Dinosaur-Type monsters gain 300 ATK and DEF.,Spell,
Hunting Instinct,0,Common,Activate only when a monster is Special Summoned to your opponents side of the field. Special Summon 1 Dinosaur-Type monster from your hand.,Trap,
Survival Instinct,0,Common,Select any number of Dinosaur-Type monsters in your Graveyard and remove them from play. Gain 400 Life Points for each Dinosaur-Type monster you removed.,Trap,
Volcanic Eruption,0,Common,"Activate only during your End Phase while ""Jurassic World"" is on your side of the field. Destroy all cards on the field.",Trap,
Seismic Shockwave,0,Common,Activate only when a Dinosaur-Type monster on your side of the field is destroyed and sent to the Graveyard. Select 3 of your opponents Spell & Trap Card zones. You cannot select a Zone if a card is already in it. The selected zones cannot be used. Destroy this card during your 3rd Standby phase after activation. Then you can return 1 Dinosaur-Type monster from your Graveyard to your hand.,Trap,
Ancient Gear Gadjiltron Dragon,0,Ultra Rare,"If this card attacks your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step. If you Tribute Summon this card by Tributing any of the following monster(s) this card gets the appropriate effect(s).
? Green Gadget: During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as a Battle Damage to your opponent.
? Red Gadget: If this card inflicts Battle Damage to your opponent, inflict 400 damage to your opponent.
? Yellow Gadget: If this card destroys your opponents monster by battle, inflict 600 damage to your opponent.",Monster,
Ancient Gear Gadjiltron Chimera,0,Common,"If you Tribute Summon this card by Tributing any of the following monster(s) this card gets the appropriate effect(s).
? Green Gadget: This card gains 300 ATK
? Red Gadget: If this card successfully attacks your opponent directly inflict 500 damage to your opponent.
? Yellow Gadget: If this card destroys your opponents monster by battle, inflict 700 damage to your opponent.",Monster,
Ancient Gear Engineer,0,Common,"Negate the effect of any Trap Card that targets this card and destroy that Trap Card. If this card attacks your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step. When this card attacks, destroy 1 Spell or Trap Card on your opponents side of the field at the end of the Damage Step.",Monster,
Boot-Up Soldier - Dread Dynamo,0,Common,"While you have a face-up ""Gadget"" monster on your side of the field, this card gains 2000 ATK.",Monster,
Green Gadget,0,Common,"When you Normal Summon this card, you can add 1 ""Red Gadget"" from your Deck to your hand.",Monster,
Red Gadget,0,Common,"When you Normal Summon this card, you can add 1 ""Yellow Gadget"" from your Deck to your hand.",Monster,
Yellow Gadget,0,Common,"When you Normal Summon this card, you can add 1 ""Green Gadget"" from your Deck to your hand.",Monster,
Ancient Gear Workshop,0,Common,"Add 1 ""Ancient Gear"" monster from your Graveyard to your hand.",Spell,
Ancient Gear Tank,0,Common,"Equip only to an ""Ancient Gear"" monster. It gains 600 ATK. When this card is destroyed and sent to the Graveyard, inflict 600 damage to your opponent.",Spell,
Ancient Gear Explosive,0,Common,"Target 1 face-up ""Ancient Gear"" monster on your side of the field when you activate this card. Destroy the targeted monster and inflict damage equal to half its original ATK to your opponent.",Spell,
Ancient Gear Fist,0,Common,"Equip only to an ""Ancient Gear"" monster. Destroy any monster that battles with it at the end of the Damage Step.",Spell,
Stronghold the Moving Fortress,0,Common,"After activation, Special Summon this card in Defense Position; it is treated as an Effect Monster Card (Machine Type/EARTH/Level 4/ATK 0/DEF 2000) (This card is still treated as a Trap Card). While ""Green Gadget"", ""Red Gadget"" and ""Yellow Gadget"" are all face-up on your side of the field, the ATK of this card becomes 3000",Trap,
Felgrand Dragon,0,Ultra Rare,"This monster cannot be Special Summoned except from the Graveyard and only if it was sent there from the field. When this card is Special Summoned, select 1 monster in your Graveyard. This card gains ATK equal to the Level of that monster x 200.",Monster,
Darkblaze Dragon,0,Common,"When this card is Special Summoned from the Graveyard, its ATK and DEF increase to become twice its original ATK and DEF. When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the ATK of the destroyed monster.",Monster,
Herald of Creation,0,Common,Once per turn you can discard 1 card from your hand to add 1 Level 7 or higher monster from your Graveyard to your hand.,Monster,
Decoy Dragon,0,Common,"When this card is selected as an attack target by your opponents Monster select 1 Level 7 or higher Dragon-Type monster from your Graveyard, Special Summon it and switch the attack target to that monster.",Monster,
Trade-In,0,Common,Discard 1 Level 8 monster. Draw 2 cards.,Spell,
Foolish Burial,0,Common,Select 1 monster from your Deck and send it to your Graveyard.,Spell,
Malevolent Catastrophe,0,Common,Activate only when your opponents monster declares an attack. Destroy all Spell and Trap Cards.,Trap,
,0,,,,
Abyss Soldier,0,Super Rare,"Discard 1 WATER monster from your hand to the Graveyard. Return 1 card on the field to the owners hand. You can only use this effect once per turn, during your Main Phase.",Monster,
